cluster_id,manufacturer_candidate,member_external_ids,representative_name,decision,evidence_url,evidence_summary,retry_condition
energizer:AA2000MAH,Energizer,КА-00000407,Energizer Power Plus AA 2000mAh BL4,hold,,The exact Power Plus commercial model and stated capacity were not confirmed by an official primary source,Obtain Energizer part number or current official datasheet for this exact SKU.
energizer:AA2300MAH,Energizer,КА-00000406,Energizer Extreme AA 2300mAh BL4,hold,,The exact Extreme commercial model and stated capacity were not confirmed by an official primary source,Obtain Energizer part number or current official datasheet for this exact SKU.
panasonic:BR1632,Panasonic,КА-00006632,Panasonic BR1632 A/VAN,hold,https://energy.panasonic.com/ap/business/downloads/terminal,The VAN suffix is a terminal or construction variant and cannot be inferred from base-cell data,Obtain Panasonic BR1632A/VAN drawing or exact part-number datasheet.
panasonic:BR1632AHAN,Panasonic,КА-00005133,Panasonic BR1632A/HAN,hold,https://energy.panasonic.com/ap/business/downloads/terminal,HAN is a terminal variant; base BR1632A characteristics do not establish the local configuration,Obtain official Panasonic BR1632A/HAN drawing.
panasonic:BR2330F3N,Panasonic,КА-00007077,Panasonic BR2330/F3N,hold,https://energy.panasonic.com/ap/business/downloads/terminal,The official terminal list identifies F3N as a distinct terminal drawing; it must not be collapsed into the base cell,Obtain and associate the exact BR2330/F3N drawing.
panasonic:BR2477AGA,Panasonic,КА-00007119,Panasonic BR2477A/GA,hold,https://energy.panasonic.com/ap/business/downloads/terminal,GA suffix is an unverified terminal variant in this import record,Obtain Panasonic BR2477A/GA technical drawing.
panasonic:CR2477NFHLF,Panasonic,КА-00007121,Panasonic CR2477NFH-LF,hold,https://energy.panasonic.com/ap/business/downloads/terminal,NFH-LF suffix identifies a terminal/lead variant not proven by a base CR2477 source,Obtain official CR2477NFH-LF drawing and datasheet.
panasonic:CR2477NRHLF,Panasonic,КА-00007120,Panasonic CR2477NRH-LF,hold,https://energy.panasonic.com/ap/business/downloads/terminal,NRH-LF suffix identifies a terminal/lead variant not proven by a base CR2477 source,Obtain official CR2477NRH-LF drawing and datasheet.
panasonic:NCR18650B,Panasonic,КА-00001305|КА-00001369|ФР-00000643|ФР-00000644|ФР-00000812,Panasonic NCR18650B 3400mAh,hold,https://energy.panasonic.com/eu/business/products/lithium-ion,The current official catalog confirms lithium-ion product policy but did not expose an exact NCR18650B primary product page,Obtain current Panasonic NCR18650B datasheet and confirm authorized distribution/variant identity.
panasonic:VL2330HFN,Panasonic,КА-00006708,Panasonic VL2330/HFN,hold,https://energy.panasonic.com/ap/business/downloads/terminal,HFN is an explicit terminal variant and must retain its construction identity,Obtain official Panasonic VL2330/HFN drawing.
panasonic:СR2330,Panasonic,ФР-00000407,Panasonic CR2330 with leads,hold,https://energy.panasonic.com/ap/business/downloads/terminal,The imported model prefix is encoding-damaged and the name explicitly says with leads,Normalize source encoding and obtain exact leaded part number.
panasonic:СR2354,Panasonic,ФР-00000236,Panasonic CR2354 with leads,hold,https://energy.panasonic.com/ap/business/downloads/terminal,The imported model prefix is encoding-damaged and the item has leads; local capacity must not be copied without an exact source,Normalize source encoding and obtain exact leaded part number/drawing.
panasonic:СR2450,Panasonic,ФР-00000235|ФР-00000281|ФР-00000794,Panasonic CR2450 with leads,hold,https://energy.panasonic.com/ap/business/downloads/terminal,The imported model prefix is encoding-damaged and the item has leads,Normalize source encoding and obtain exact leaded part number/drawing.
