product_external_id,reason
КА-00000689,building_window_out_of_scope
КА-00000696,building_insulation_out_of_scope
КА-00000702,household_ladder_out_of_scope
КА-00000816,home_decoration_out_of_scope
КА-00001119,food_out_of_scope
КА-00001195,food_out_of_scope
КА-00001287,household_packaging_out_of_scope
КА-00001333,disposable_tableware_out_of_scope
КА-00001376,household_appliance_out_of_scope
КА-00001581,household_packaging_out_of_scope
КА-00001684,household_storage_out_of_scope
КА-00001687,kitchenware_out_of_scope
КА-00001698,sports_good_out_of_scope
КА-00001699,sports_good_out_of_scope
КА-00001700,sports_good_out_of_scope
КА-00001711,sports_good_out_of_scope
КА-00001712,sports_good_out_of_scope
КА-00001735,personal_care_good_out_of_scope
КА-00001737,sports_good_out_of_scope
КА-00001738,sports_good_out_of_scope
КА-00001744,kitchenware_out_of_scope
КА-00001745,kitchenware_out_of_scope
КА-00001748,kitchenware_out_of_scope
КА-00001749,kitchenware_out_of_scope
КА-00001811,financial_stationery_out_of_scope
КА-00001825,footwear_out_of_scope
КА-00002190,office_stationery_out_of_scope
КА-00002223,household_storage_out_of_scope
КА-00002351,apparel_out_of_scope
КА-00002411,household_packaging_out_of_scope
КА-00002412,household_packaging_out_of_scope
КА-00002495,food_out_of_scope
КА-00002497,food_out_of_scope
КА-00002501,food_out_of_scope
КА-00002638,food_out_of_scope
КА-00002641,food_out_of_scope
КА-00002712,office_stationery_out_of_scope
КА-00002720,office_stationery_out_of_scope
