product_external_id,reason
КА-00000184,explicit_out_of_scope_after_live_sample_review
КА-00000185,explicit_out_of_scope_after_live_sample_review
КА-00000186,explicit_out_of_scope_after_live_sample_review
КА-00000188,explicit_out_of_scope_after_live_sample_review
КА-00000208,explicit_out_of_scope_after_live_sample_review
КА-00000210,explicit_out_of_scope_after_live_sample_review
КА-00000391,explicit_out_of_scope_after_live_sample_review
КА-00000392,explicit_out_of_scope_after_live_sample_review
КА-00000395,explicit_out_of_scope_after_live_sample_review
КА-00000396,explicit_out_of_scope_after_live_sample_review
КА-00000435,explicit_out_of_scope_after_live_sample_review
КА-00000436,explicit_out_of_scope_after_live_sample_review
КА-00000571,explicit_out_of_scope_after_live_sample_review
КА-00000580,explicit_out_of_scope_after_live_sample_review
КА-00000582,explicit_out_of_scope_after_live_sample_review
КА-00000588,explicit_out_of_scope_after_live_sample_review
КА-00000589,explicit_out_of_scope_after_live_sample_review
КА-00000590,explicit_out_of_scope_after_live_sample_review
КА-00000591,explicit_out_of_scope_after_live_sample_review
КА-00000596,explicit_out_of_scope_after_live_sample_review
КА-00000599,explicit_out_of_scope_after_live_sample_review
КА-00000639,explicit_out_of_scope_after_live_sample_review
КА-00000656,explicit_out_of_scope_after_live_sample_review
КА-00000672,explicit_out_of_scope_after_live_sample_review
КА-00000677,explicit_out_of_scope_after_live_sample_review
КА-00000724,explicit_out_of_scope_after_live_sample_review
КА-00000725,explicit_out_of_scope_after_live_sample_review
КА-00000732,explicit_out_of_scope_after_live_sample_review
КА-00000742,explicit_out_of_scope_after_live_sample_review
КА-00000750,explicit_out_of_scope_after_live_sample_review
КА-00000783,explicit_out_of_scope_after_live_sample_review
КА-00000785,explicit_out_of_scope_after_live_sample_review
КА-00000798,explicit_out_of_scope_after_live_sample_review
КА-00000799,explicit_out_of_scope_after_live_sample_review
КА-00000804,explicit_out_of_scope_after_live_sample_review
КА-00000805,explicit_out_of_scope_after_live_sample_review
КА-00000806,explicit_out_of_scope_after_live_sample_review
КА-00000807,explicit_out_of_scope_after_live_sample_review
КА-00000824,explicit_out_of_scope_after_live_sample_review
КА-00000829,explicit_out_of_scope_after_live_sample_review
КА-00000832,explicit_out_of_scope_after_live_sample_review
КА-00000833,explicit_out_of_scope_after_live_sample_review
КА-00000834,explicit_out_of_scope_after_live_sample_review
КА-00000835,explicit_out_of_scope_after_live_sample_review
КА-00000836,explicit_out_of_scope_after_live_sample_review
КА-00000837,explicit_out_of_scope_after_live_sample_review
КА-00000870,explicit_out_of_scope_after_live_sample_review
КА-00001050,explicit_out_of_scope_after_live_sample_review
КА-00001071,explicit_out_of_scope_after_live_sample_review
КА-00001129,explicit_out_of_scope_after_live_sample_review
