cluster_id,manufacturer_candidate,member_external_ids,representative_name,decision,evidence_url,evidence_summary,retry_condition
energizer:AAAE92,Energizer,ФР-00001027,"Батарейка алкалиновая Energizer Industrial AAA E92",hold,https://data.energizer.com/pdfs/en92.pdf,"Primary datasheet identifies EN92; local name says E92, so the model code cannot be silently corrected.",Obtain a manufacturer document or product label that explicitly maps E92 to EN92.
energizer:EN91,Energizer,КА-00003869,"Батарейка Energizer Ultimate Lithium EN91 AA",hold,https://data.energizer.com/pdfs/en91_industrial_na.pdf,"Manufacturer EN91 datasheet is an alkaline Industrial AA/LR6 cell, while the local name says Ultimate Lithium.",Resolve whether the source record should be EN91 or L91 before applying any facts.
panasonic:2BR23A,Panasonic,КА-00005644,"Батарейка Panasonic 2BR2/3A 6V",hold,https://energy.panasonic.com/tw/business/products/lithium/cylindrical-br/models/BR-2-3A,"Manufacturer page documents one BR-2/3A 3V cell, not the local 2-cell 6V assembly.",Obtain Panasonic documentation for the exact two-cell assembly.
panasonic:8ХCR123APAB,Panasonic,ФР-00001497,"Батарея PANASONIC 8хCR-123APA/B",hold,https://energy.panasonic.com/eu/business/products/lithium/cylindrical-cr-standard/models/CR123A,"The local identity is an 8-cell pack; a single-cell CR123A source is insufficient.",Obtain a manufacturer document for the exact 8x CR-123APA/B assembly.
panasonic:BR1225AHBN,Panasonic,КА-00003815,"Батарейка Panasonic BR1225A/HBN",hold,https://energy.panasonic.com/eu/business/products/lithium/coin-br-high-temp/models/BR1225A,"The source confirms BR1225A core but the local HBN terminal variant is not independently resolved.",Obtain the Panasonic terminal drawing or part-number mapping for BR1225A/HBN.
panasonic:BR12AAE2PN,Panasonic,КА-00004138,"Батарейка Panasonic BR1/2AAE2PN",hold,https://energy.panasonic.com/ap/business/downloads/terminal,"Terminal/lead suffix E2PN is not safely inferable from the base-size name.",Obtain exact Panasonic terminal drawing or product datasheet for BR1/2AAE2PN.
panasonic:BR23AE2SPN,Panasonic,КА-00004438,"Батарейка Panasonic BR2/3AE2SPN",hold,https://energy.panasonic.com/ap/business/downloads/terminal,"Terminal/lead suffix E2SPN is not safely inferable from the BR-2/3A core.",Obtain exact Panasonic terminal drawing or product datasheet for BR2/3AE2SPN.
panasonic:BR23AGCT4A,Panasonic,ФР-00001793,"Батарейка Panasonic BR-2/3AGCT4A",hold,https://energy.panasonic.com/ap/business/downloads/terminal,"Terminal/lead suffix GCT4A requires exact part-number evidence.",Obtain exact Panasonic terminal drawing or product datasheet for BR-2/3AGCT4A.
panasonic:BR23AH,Panasonic,КА-00003992,"Батарейка Panasonic BR2/3AH 3V с выводами",hold,https://energy.panasonic.com/tw/business/products/lithium/cylindrical-br/models/BR-2-3A,"Local record explicitly has leads; base-cell source cannot establish its terminal configuration.",Obtain the Panasonic drawing for BR2/3AH.
panasonic:BR2GCF2W,Panasonic,КА-00003247,"Батарейка Panasonic BR-2GCF2W",hold,https://energy.panasonic.com/ap/business/downloads/terminal,"Terminal configuration F2W is part of the identity and has not been verified.",Obtain exact Panasonic terminal drawing or product datasheet for BR-2GCF2W.
panasonic:BRAGCF2W,Panasonic,КА-00006147,"Батарейка Panasonic BR-AGCF2W",hold,https://energy.panasonic.com/ap/business/downloads/terminal,"Terminal configuration F2W is part of the identity and has not been verified.",Obtain exact Panasonic terminal drawing or product datasheet for BR-AGCF2W.
panasonic:CR123LA,Panasonic,КА-00000031,"Эл. питания Panasonic Lithium CR123LA",hold,https://energy.panasonic.com/eu/business/products/lithium/cylindrical-cr-standard/models/CR123A,"Local CR123LA code is not proven equivalent to Panasonic CR123A by a primary source.",Obtain exact Panasonic part-number mapping for CR123LA.
panasonic:FANUC1S,Panasonic,КА-00004345,"Батарейка Panasonic PLC GE Fanuc 1S",hold,,"PLC backup-pack identity is not a Panasonic cell model and no primary source was found.",Obtain the PLC manufacturer part number and the pack datasheet.
panasonic:LR41,Panasonic,КА-00002974,"Батарейки Panasonic LR41",hold,,"No current Panasonic manufacturer-primary product page or datasheet for the exact LR41 retail item was located.",Obtain a Panasonic LR41 primary datasheet or product label.
