cluster_id,manufacturer_candidate,decision,reason_code,evidence,retry_condition
b.b. battery:12V72AH,B.B. Battery,hold,manufacturer_model_unverified,"Wave 119 primary-source research: no exact BB Battery manufacturer datasheet/page located for the raw name '1272 12V/7.2Ah'; mapping to another BB variant would be inference.","Exact BB Battery source must name the model and confirm 12V/7.2Ah."
bae:2OPZV,BAE,hold,voltage_architecture_conflict,"Raw name says '12V 2OPzV 100'; Wave 119 found only BAE's family page (https://www.bae-berlin.de/en/station%C3%A4r), not an exact model source. A 12V claim cannot be reconciled with this cell-style model string without a primary source.","BAE datasheet or manufacturer configuration sheet must explicitly identify the item and its voltage/cell count."
bae:4OPZS200,BAE,hold,manufacturer_model_unverified,"Wave 119: BAE primary family page confirms OPzS technology but no exact BAE 4OPzS200 data sheet; figures from another manufacturer are not transferable.","Exact BAE 4OPzS200 datasheet or manufacturer catalogue entry."
energizer:AAA700,Energizer,hold,primary_source_required,"Wave 119 final cluster input marks identity_source=name_candidate+name_alias and research_gate=official_manufacturer_source_required; no exact manufacturer evidence recorded.","Exact Energizer source must match Reach Power Plus AAA 700/R03 and package/variant."
energizer:C2500,Energizer,hold,primary_source_required,"Wave 119 final cluster input marks identity_source=name_candidate+name_alias and research_gate=official_manufacturer_source_required; no exact manufacturer evidence recorded.","Exact Energizer source must match Recharge Power Plus C 2500/R14 and package/variant."
energizer:E300638700,Energizer,hold,primary_source_required,"Wave 119 final cluster input marks identity_source=name_candidate+name_alias and research_gate=official_manufacturer_source_required; no exact manufacturer evidence recorded.","Exact Energizer source must match E300638700 and Industrial AA/LR6 package quantity."
energizer:LR03AAA,Energizer,hold,primary_source_required,"Wave 119 final cluster input marks identity_source=name_candidate+name_alias and research_gate=official_manufacturer_source_required; no exact manufacturer evidence recorded.","Exact Energizer MAX LR03/AAA source with BP3+1 pack variant."
energizer:LR14,Energizer,hold,variant_or_bundle_ambiguous,"Three members share generic LR14 while representative carries EN93 C Industrial; name-only evidence cannot choose product/package or safely merge members.","Exact Energizer EN93/LR14 manufacturer source and a product identifier for each member."
energizer:LR20,Energizer,hold,variant_or_bundle_ambiguous,"Two members share generic LR20; representative is MAX D LR20 BL-2 but name-only evidence does not prove both are the same package.","Exact Energizer MAX D/LR20 manufacturer source and a product identifier for each member."
energizer:LR6AA,Energizer,hold,variant_or_bundle_ambiguous,"Two members share generic LR6/AA; representative says Industrial BP10, but package identity is not proven for both records.","Exact Energizer Industrial LR6/AA manufacturer source and package identifiers for both members."
energizer:БАТАРЕЙКА27A,Energizer,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Energizer 27A source including voltage and pack variant."
energizer:ИНДУСТРИАЛЬНЫЕAALR6,Energizer,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Energizer Industrial AA/LR6 DP1 source and package evidence."
fanso:CR12AAWSC,Fanso,hold,primary_source_required,"Wave 119 final cluster input has name-only identity and requires official manufacturer evidence.","Exact Fanso CR1/2AA-WSC datasheet, including lead/terminal suffix."
