product_external_id,reason
КА-00000415,explicit_out_of_scope_live_verified
КА-00000506,explicit_out_of_scope_live_verified
КА-00000817,explicit_out_of_scope_live_verified
КА-00001324,explicit_out_of_scope_live_verified
КА-00001419,explicit_out_of_scope_live_verified
КА-00001422,explicit_out_of_scope_live_verified
КА-00002107,explicit_out_of_scope_live_verified
КА-00002140,explicit_out_of_scope_live_verified
КА-00002362,explicit_out_of_scope_live_verified
КА-00005287,explicit_out_of_scope_live_verified
КА-00005337,explicit_out_of_scope_live_verified
КА-00005694,explicit_out_of_scope_live_verified
КА-00006074,explicit_out_of_scope_live_verified
