product_external_id,reason
КА-00002527,one_c_explicit_battery_disassembly_assembly_service_non_product
КА-00002610,one_c_explicit_battery_disassembly_assembly_service_non_product
КА-00002958,one_c_explicit_battery_disassembly_assembly_service_non_product
КА-00003099,one_c_explicit_charging_diagnostics_service_non_product
КА-00003266,one_c_explicit_battery_diagnostics_service_non_product
КА-00003354,one_c_explicit_battery_repair_service_non_product
КА-00003640,one_c_explicit_battery_repair_service_non_product
КА-00003682,one_c_explicit_battery_repair_service_non_product
КА-00003709,one_c_explicit_battery_repair_service_non_product
КА-00003711,one_c_explicit_battery_repair_service_non_product
КА-00003778,one_c_explicit_battery_repair_service_non_product
КА-00003824,one_c_explicit_battery_repair_service_non_product
КА-00004166,one_c_explicit_battery_repair_service_non_product
КА-00004167,one_c_explicit_battery_repair_service_non_product
КА-00006934,one_c_explicit_charger_repair_service_non_product
КА-00007022,one_c_explicit_charger_repair_service_non_product
КА-00007103,one_c_explicit_charger_repair_service_non_product
ФР-00000040,one_c_explicit_battery_replacement_service_non_product
ФР-00000043,one_c_explicit_battery_disassembly_assembly_service_non_product
ФР-00000044,one_c_explicit_battery_disassembly_assembly_service_non_product
ФР-00000150,one_c_explicit_battery_disassembly_assembly_service_non_product
ФР-00000178,one_c_explicit_battery_replacement_service_non_product
ФР-00000180,one_c_explicit_battery_disassembly_assembly_service_non_product
ФР-00000201,one_c_explicit_battery_replacement_service_non_product
ФР-00000202,one_c_explicit_battery_disassembly_assembly_service_non_product
ФР-00000204,one_c_explicit_battery_replacement_service_non_product
ФР-00000206,one_c_explicit_battery_disassembly_assembly_service_non_product
ФР-00000207,one_c_explicit_battery_replacement_service_non_product
ФР-00000208,one_c_explicit_battery_disassembly_assembly_service_non_product
ФР-00000213,one_c_explicit_battery_replacement_service_non_product
ФР-00000228,one_c_explicit_battery_replacement_service_non_product
ФР-00000244,one_c_explicit_battery_replacement_service_non_product
ФР-00000261,one_c_explicit_contact_welding_service_non_product
ФР-00000664,one_c_explicit_battery_replacement_service_non_product
ФР-00000852,one_c_explicit_battery_disassembly_assembly_service_non_product
ФР-00001823,one_c_explicit_battery_control_board_replacement_service_non_product
