cluster_id,manufacturer_candidate,decision,reason_code,evidence,retry_condition
b.b. battery:12V72AH,B.B. Battery,hold,manufacturer_model_unverified,Wave 119 primary-source research: no exact BB Battery manufacturer datasheet/page located for the raw name '1272 12V/7.2Ah'; mapping to another BB variant would be inference.,Exact BB Battery source must name the model and confirm 12V/7.2Ah.
b.b. battery:BC1212,B.B. Battery,hold,exact_model_absent_from_primary_series,The manufacturer BC series page does not list BC 12-12; the local T2 terminal suffix must not be inferred from a different BC model.,"Official B.B. Battery page or datasheet naming BC 12-12 and, if required, its terminal suffix."
b.b. battery:BPX712,B.B. Battery,hold,exact_model_unverified,"The primary manufacturer site navigation establishes a BPX series, but this pass could not verify the exact BPX 7-12 model from an accessible manufacturer product page or datasheet.",Official B.B. Battery BPX 7-12 product page or datasheet.
b.b. battery:HR1234W,B.B. Battery,hold,primary_source_required,The primary HR series listing does not establish an exact B.B. Battery HR1234W model; similar model strings occur across other brands || https://www.bb-bat.com/en/HR.html,Obtain exact B.B. Battery HR1234W product page or manufacturer part-number datasheet.
b.b. battery:HRC1234W,B.B. Battery,hold,primary_source_required,HRC1234W and the F2 terminal construction are not established by the official B.B. Battery HR source || https://www.bb-bat.com/en/HR.html,Obtain exact HRC1234W manufacturer page and terminal specification.
b.b. battery:HRC5,B.B. Battery,hold,series_code_conflict,"The local record says HRC 5.5-12, while the primary manufacturer page establishes HR 5.5-12 and HRL 5.5-12 only. HRC must not be silently normalized.",Official B.B. Battery source naming HRC 5.5-12 or a manufacturer cross-reference from HRC to the current series.
b.b. battery:HRL9121,B.B. Battery,hold,primary_source_required,The local model suffix 9-121 does not exactly match the official HRL9-12 model and could be a data-entry variant || https://www.bb-bat.com/en/HRL.html,Normalize the source identity with a label
bae:2OPZV,BAE,hold,voltage_architecture_conflict,"Raw name says '12V 2OPzV 100'; Wave 119 found only BAE's family page (https://www.bae-berlin.de/en/station%C3%A4r), not an exact model source. A 12V claim cannot be reconciled with this cell-style model string without a primary source.",BAE datasheet or manufacturer configuration sheet must explicitly identify the item and its voltage/cell count.
bae:4OPZS200,BAE,hold,manufacturer_model_unverified,Wave 119: BAE primary family page confirms OPzS technology but no exact BAE 4OPzS200 data sheet; figures from another manufacturer are not transferable.,Exact BAE 4OPzS200 datasheet or manufacturer catalogue entry.
bae:SPZV110,BAE,hold,primary_source_required,The manufacturer source establishes BAE as a stationary industrial lead-battery producer but does not establish the exact imported SPzV 110 / 14V2 designation || https://www.bae-berlin.de/en/unternehmen,Obtain official BAE SPzV 110 technical datasheet or manufacturer part-number confirmation; do not substitute the different PzV 110 model.
csb:UPS12240,CSB,hold,primary_source_required,No official primary source was located for the exact UPS12240 model and the imported F2 suffix is a construction detail,Obtain current CSB UPS12240 datasheet or product page confirming the exact model and terminal.
csb:UPS122406,CSB,hold,exact_model_specs_unverified,"Official CSB manual lists UPS122406 but no product datasheet establishes voltage, capacity and F2 execution.",Official CSB UPS122406 datasheet.
delta:CT1208,Delta,hold,exact_model_source_not_located,No official Delta Battery product page or datasheet was located for the exact CT 1208 model.,Official Delta Battery product page or datasheet naming CT 1208.
delta:CT12101,Delta,hold,exact_model_source_not_located,No official Delta Battery product page or datasheet was located for the exact CT 12101 model.,Official Delta Battery product page or datasheet naming CT 12101.
delta:DT12008,Delta,hold,exact_model_source_not_located,No official Delta Battery product page or datasheet was located for the exact DT 12008 model.,Official Delta Battery product page or datasheet naming DT 12008.
delta:DTM12120,Delta,hold,exact_model_source_not_located,No official Delta Battery product page or datasheet was located for the exact DTM 12120 model.,Official Delta Battery product page or datasheet naming DTM 12120.
delta:DTM1265,Delta,hold,exact_model_source_not_located,No accessible official Delta Battery product page or datasheet was located for exact DTM 12-65.,Official Delta Battery product page or datasheet naming DTM 12-65.
delta:FT12125,Delta,hold,exact_legacy_model_source_not_located,No official Delta Battery primary page or datasheet was located for exact legacy FT12-125.,Official Delta Battery archive page or datasheet naming FT12-125.
