product_external_id,reason
РБ-00000010,one_c_group_bso_non_product
РБ-00000019,one_c_group_customs_payment_non_product
РБ-00000021,one_c_group_customs_payment_non_product
РБ-00000022,one_c_group_customs_payment_non_product
КА-00006249,one_c_group_service_non_product
КА-00006935,one_c_group_service_non_product
ФР-00000059,one_c_group_service_non_product
ФР-00000072,one_c_group_service_non_product
ФР-00000181,one_c_group_service_non_product
ФР-00000277,one_c_group_service_non_product
РБ-00000036,one_c_group_third_party_service_non_product
РБ-00000040,one_c_group_third_party_service_non_product
РБ-00000042,one_c_group_third_party_service_non_product
РБ-00000043,one_c_group_third_party_service_non_product
