product_external_id,reason_code
bitrix:10035,exact_pack_identity_missing
bitrix:10131,official_compatibility_conflict
bitrix:10132,exact_pack_identity_missing
bitrix:10133,exact_pack_identity_missing
bitrix:10260,official_capacity_variant_conflict
bitrix:10282,exact_pack_identity_missing
bitrix:10498,multiple_oem_part_numbers_conflict
bitrix:10501,multiple_oem_part_numbers_conflict
bitrix:10646,multiple_oem_pack_variants_conflict
bitrix:10653,connector_variant_unverified
bitrix:10654,connector_variant_unverified
bitrix:10690,aftermarket_pack_identity_unverified
bitrix:10691,aftermarket_pack_identity_unverified
bitrix:10965,mixed_manufacturer_identity
bitrix:11754,terminal_variant_unverified
bitrix:11755,official_current_rating_conflict
bitrix:11982,exact_pack_identity_missing
bitrix:12092,aftermarket_code_not_oem_verified
bitrix:12223,aftermarket_code_not_oem_verified
bitrix:12240,official_capacity_conflict
bitrix:12353,official_capacity_and_variant_conflict
bitrix:12368,multiple_oem_pack_families_conflict
bitrix:12380,exact_pack_identity_missing
bitrix:15757,exact_pack_identity_missing
bitrix:16607,multiple_oem_part_numbers_conflict
bitrix:16839,exact_pack_identity_missing
bitrix:24021,official_capacity_and_variant_conflict
bitrix:25928,manufacturer_and_pack_identity_unverified
bitrix:4744,exact_pack_identity_missing
bitrix:4755,aftermarket_pack_identity_unverified
bitrix:4769,device_variant_ambiguous
bitrix:4773,device_family_not_pack_identity
bitrix:4780,device_family_not_pack_identity
bitrix:4781,exact_pack_identity_missing
bitrix:4964,exact_pack_identity_missing
bitrix:6954,official_capacity_conflict
bitrix:7113,oem_part_number_mapping_unverified
bitrix:7114,aftermarket_pack_identity_unverified
bitrix:9428,official_capacity_conflict
bitrix:9454,aftermarket_pack_identity_unverified
bitrix:9556,official_capacity_conflict
bitrix:9853,official_capacity_conflict
bitrix:9879,aftermarket_capacity_conflict
bitrix:9904,official_capacity_conflict
